2015-06-08 21:37:01,142 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WeatherStationTest:WeatherStationTest:0.0.1-SNAPSHOT @ /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/pom.xml.
2015-06-08 21:37:01,840 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /WeatherStationTest/src
2015-06-08 21:37:01,841 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /WeatherStationTest/src/test/java because it overlaps with /WeatherStationTest/src
2015-06-08 21:37:02,073 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WeatherStationTest:WeatherStationTest:0.0.1-SNAPSHOT @ /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/pom.xml.
2015-06-08 21:37:02,114 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:37:02,115 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 21:37:02,117 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:37:02,118 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 21:37:02,241 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-06-08 21:37:02,260 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WeatherStationTest:WeatherStationTest:0.0.1-SNAPSHOT @ /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/pom.xml.
2015-06-08 21:37:02,349 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /WeatherStationTest/src
2015-06-08 21:37:02,349 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /WeatherStationTest/src/test/java because it overlaps with /WeatherStationTest/src
2015-06-08 21:37:03,060 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WeatherStationTest:WeatherStationTest:0.0.1-SNAPSHOT @ /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/pom.xml.
2015-06-08 21:37:03,102 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for WeatherStationTest
2015-06-08 21:37:03,119 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2015-06-08 21:37:03,234 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:37:03,234 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 21:37:03,235 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:37:03,236 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 21:37:07,932 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: WeatherStationTest:WeatherStationTest:0.0.1-SNAPSHOT @ /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/pom.xml.
2015-06-08 21:37:07,972 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:37:07,973 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 21:37:07,974 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:37:07,974 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 21:39:54,441 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:39:54,441 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 21:39:54,443 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:39:54,443 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/test/resources
2015-06-08 21:41:02,397 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-08 21:41:02,397 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/franciscoaguilera/Development/Weather Station Test/WeatherStationTest/src/main/resources
2015-06-08 21:41:02,398 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
